   1:  3vrl-C 12.8  1.2   72    73   88 PDB  MOLECULE: A10F9 FAB HEAVY CHAIN;                                     
   2:  1eia-A 12.2  1.8   73   207   40 PDB  MOLECULE: EIAV CAPSID PROTEIN P26;                                   
   3:  3h4e-K 11.0  2.0   63   198   98 PDB  MOLECULE: CAPSID PROTEIN P24;                                        
   4:  2l6e-A 10.8  2.0   75    94   95 PDB  MOLECULE: CAPSID PROTEIN P24;                                        
  48:  2khm-A  2.2  3.8   59   140    5 PDB  MOLECULE: FIBROIN-3;                                                 
  49:  1cmz-A  2.2  3.6   55   128   13 PDB  MOLECULE: PROTEIN (GAIP (G-ALPHA INTERACTING) PROTEIN);              
  50:  3add-A  2.2  2.8   40   251    5 PDB  MOLECULE: L-SERYL-TRNA(SEC) KINASE;                                  
  51:  2f42-A  2.2  2.9   40   138    8 PDB  MOLECULE: STIP1 HOMOLOGY AND U-BOX CONTAINING PROTEIN 1;             
  52:  5cu5-A  2.1  3.8   47   871    6 PDB  MOLECULE: ENDOPLASMIC RETICULUM AMINOPEPTIDASE 2;                    
  53:  1vbg-A  2.1  3.3   58   874    5 PDB  MOLECULE: PYRUVATE,ORTHOPHOSPHATE DIKINASE;                          
  54:  2ffj-B  2.1  3.9   47   271    6 PDB  MOLECULE: CONSERVED HYPOTHETICAL PROTEIN;                            
  55:  3n2o-A  2.1  4.8   55   630    5 PDB  MOLECULE: BIOSYNTHETIC ARGININE DECARBOXYLASE;                       
  56:  2hw5-A  2.1  3.9   48   260    8 PDB  MOLECULE: ENOYL-COA HYDRATASE;                                       
  57:  3n5l-A  2.1  3.6   40   306    5 PDB  MOLECULE: BINDING PROTEIN COMPONENT OF ABC PHOSPHONATE TRAN          
  58:  3l9o-A  2.1  4.3   45   906    9 PDB  MOLECULE: ATP-DEPENDENT RNA HELICASE DOB1;                           
  59:  1z0j-B  2.1  3.9   40    51   13 PDB  MOLECULE: RAS-RELATED PROTEIN RAB-22A;                               
  60:  1wjz-A  2.1  6.4   49    94    8 PDB  MOLECULE: 1700030A21RIK PROTEIN;                                     
  61:  3u1k-C  2.1  3.0   53   623    4 PDB  MOLECULE: POLYRIBONUCLEOTIDE NUCLEOTIDYLTRANSFERASE 1, MITO          
  62:  3ewe-B  2.1  4.1   57   395    5 PDB  MOLECULE: NUCLEOPORIN SEH1;                                          
  63:  3tix-A  2.1  3.0   49   153    4 PDB  MOLECULE: UBIQUITIN-LIKE PROTEIN SMT3, RNA-INDUCED TRANSCRI          
  64:  2ve7-B  2.1  4.5   42   303    7 PDB  MOLECULE: KINETOCHORE PROTEIN HEC1, KINETOCHORE PROTEIN SPC          
  65:  2x2e-A  2.1  4.0   40   341    3 PDB  MOLECULE: DYNAMIN-1;                                                 
  66:  1l3p-A  2.0  3.6   57   102    9 PDB  MOLECULE: POLLEN ALLERGEN PHL P 5B;                                  
  67:  2x82-A  2.0  3.1   61   145    7 PDB  MOLECULE: CAPSID PROTEIN P24;                                        
  68:  3lhr-B  2.0  5.7   43    93    5 PDB  MOLECULE: ZINC FINGER PROTEIN 24;                                    
  69:  1zw0-D  2.0  3.3   40    66    8 PDB  MOLECULE: TYPE III SECRETION PROTEIN;                                
  70:  3h81-A  2.0  3.9   47   256    6 PDB  MOLECULE: ENOYL-COA HYDRATASE ECHA8;                                 
  71:  2klz-A  2.0  4.4   41    46    7 PDB  MOLECULE: ATAXIN-3;                                                  
  72:  2ctq-A  2.0  5.2   53   112    6 PDB  MOLECULE: DNAJ HOMOLOG SUBFAMILY C MEMBER 12;                        
  73:  1v5y-A  2.0  3.6   41   217   10 PDB  MOLECULE: MAJOR NAD(P)H-FLAVIN OXIDOREDUCTASE;                       
  74:  3b5m-B  2.0  3.5   46   195    4 PDB  MOLECULE: UNCHARACTERIZED PROTEIN;                                   
  75:  3kfl-A  2.0  3.6   58   530    7 PDB  MOLECULE: METHIONYL-TRNA SYNTHETASE;                                 
  76:  3npe-A  2.0  3.4   45   522    4 PDB  MOLECULE: 9-CIS-EPOXYCAROTENOID DIOXYGENASE 1, CHLOROPLASTI          
